"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.280227042E0	-1.339714050E-1	-2.140548706E-1	9.459129639E0	9.462499741E0
1.290221042E0	-3.113525391E-1	1.175056458E-1	1.025053391E1	1.025593454E1
1.300215042E0	-4.739144897E-1	-9.580078125E-3	9.106762390E0	9.119090303E0
1.310209042E0	-2.942880249E-1	3.173400879E-2	1.057610687E1	1.058024806E1
1.320203042E0	-4.174818420E-1	2.924917603E-1	9.778864746E0	9.792141658E0
1.330197042E0	-1.323248291E-1	5.465135193E-1	9.417216797E0	9.433989564E0
1.340191042E0	-1.115180969E-1	1.065783691E-1	1.010159363E1	1.010277136E1
1.350185042E0	7.065307617E-2	7.694000244E-2	1.013527359E1	1.013581188E1
1.360179042E0	-9.190887451E-2	-4.206253052E-2	9.646539917E0	9.647069445E0
1.370173042E0	-1.166075134E-1	-1.335223389E-1	9.975705414E0	9.977280392E0
1.380167042E0	-3.721261597E-1	3.321592712E-1	9.643097076E0	9.655989275E0
1.390161042E0	-6.095324707E-1	5.587879944E-1	9.925410004E0	9.959796062E0
1.400155042E0	-5.053491211E-1	1.079255676E-1	9.885443115E0	9.898939905E0
1.410149042E0	-3.118016052E-1	5.688171387E-3	9.721983032E0	9.726983431E0
1.420143042E0	-2.588117981E-1	4.071533203E-2	9.635762329E0	9.639323469E0
1.430137042E0	-4.221221924E-2	1.899549866E-1	1.009246262E1	1.009433834E1
1.440131042E0	3.323089600E-2	9.445358276E-2	9.922715607E0	9.923220787E0
1.450125042E0	1.119671631E-1	1.332229614E-2	1.054661819E1	1.054722094E1
1.460119042E0	-3.640429688E-1	3.207829285E-1	8.760233002E0	8.773660081E0
1.470113042E0	-3.899391174E-1	5.194198608E-1	1.012299911E1	1.014381391E1
1.480107042E0	-5.697152710E-1	8.038284302E-2	1.040635986E1	1.042225324E1
1.490101042E0	-2.743794250E-1	3.667373657E-2	9.528884583E0	9.532904616E0
1.500095042E0	-4.634362793E-1	-5.254074097E-2	8.727002106E0	8.739456474E0
1.510089042E0	-1.368154907E-1	8.891510010E-2	1.105795486E1	1.105915866E1
1.520083042E0	-2.185455322E-2	7.888595581E-2	1.030921188E1	1.030953686E1
1.530078042E0	1.492396545E-1	7.903564453E-2	9.283544769E0	9.285080645E0
1.540072042E0	-2.381547546E-1	3.126997375E-1	9.382489014E0	9.390718764E0
1.550066042E0	-4.861889648E-1	3.122506714E-1	1.049901718E1	1.051490570E1
1.560060042E0	-4.799020386E-1	1.152603149E-1	9.801617432E0	9.814035622E0
1.570054042E0	-2.891986084E-1	5.164260864E-2	9.430389404E0	9.434964076E0
1.580048042E0	-2.936892700E-1	1.939965820E-1	9.829010468E0	9.835310612E0
1.590042042E0	3.921844482E-2	3.866459656E-1	1.014530273E1	1.015274351E1
1.600036042E0	8.981323242E-4	1.646575928E-1	1.015817596E1	1.015951041E1
1.610030042E0	2.537223816E-1	2.260299683E-2	9.530231781E0	9.533635390E0
1.620024042E0	-3.082090759E-1	-5.044509888E-2	9.579629059E0	9.584718590E0
1.630018042E0	-5.276527405E-1	1.462458801E-1	1.053389465E1	1.054811556E1
1.640012042E0	-9.092092896E-1	3.782633972E-1	9.314230957E0	9.366143446E0
1.650006042E0	-5.358856201E-1	1.604663086E-1	9.746082916E0	9.762123491E0
1.660000042E0	-2.727328491E-1	-8.831634521E-3	9.507329407E0	9.511244590E0
1.669994042E0	1.450483704E-1	1.561253357E-1	1.044797333E1	1.045014645E1
1.679988042E0	3.341052246E-1	-5.688171387E-2	1.031519943E1	1.032076553E1
1.689982042E0	1.267863464E-1	1.392105103E-1	9.061706085E0	9.063662147E0
1.699976042E0	-2.757266235E-1	3.993695068E-1	9.661658478E0	9.673839244E0
1.709970042E0	-7.107220459E-1	4.520599365E-1	1.069031937E1	1.072345150E1
1.719964042E0	-5.289999390E-1	3.234773254E-1	9.583520966E0	9.603559372E0
1.729958042E0	-4.285588074E-1	8.023315430E-2	9.130113831E0	9.140518507E0
1.739952042E0	-2.552192688E-1	-1.868115234E-1	1.017583923E1	1.018075339E1
1.749946042E0	-6.855743408E-2	-1.763333130E-1	9.915829926E0	9.917634631E0
1.759940042E0	-1.155596924E-1	-9.849517822E-2	1.040186920E1	1.040297737E1
1.769934042E0	-1.484912109E-1	3.086581421E-1	9.308393097E0	9.314692777E0
1.779928042E0	-4.390370178E-1	7.098239136E-1	9.576485596E0	9.612787309E0
1.789922042E0	-2.014810181E-1	3.109034729E-1	1.025891647E1	1.026560387E1
1.799917042E0	-3.326083374E-1	2.555186462E-1	9.705517273E0	9.714575833E0
1.809911042E0	-1.332229614E-1	1.437011719E-2	9.702822876E0	9.703748071E0
1.819905042E0	1.945953369E-3	-3.457809448E-2	9.998458099E0	9.998518080E0
1.829899042E0	2.724334717E-2	-6.676116943E-2	1.066068100E1	1.066092485E1
1.839893042E0	-4.120930481E-1	-3.294648743E-1	9.080866241E0	9.096180488E0
1.849887042E0	-7.701484680E-1	3.867956543E-1	9.224417725E0	9.264589678E0
1.859881042E0	-7.030879211E-1	5.930667114E-1	1.034573593E1	1.038654479E1
1.869875042E0	5.478607178E-2	4.894821167E-1	1.067205734E1	1.068341716E1
1.879869042E0	2.395019531E-1	-6.047424316E-2	9.249266052E0	9.252564014E0
1.889863042E0	-7.274871826E-2	-4.760101318E-2	9.266180878E0	9.266588708E0
1.899857042E0	-3.601510620E-1	-9.071136475E-2	1.044527893E1	1.045187970E1
1.909851042E0	-1.990859985E-1	4.128414917E-1	1.021850052E1	1.022877442E1
1.919845042E0	1.197509766E-3	4.324507141E-1	9.605674896E0	9.615404582E0
1.929839042E0	-4.085005188E-1	7.544311523E-2	9.369765472E0	9.378969525E0
1.939833042E0	-5.888754272E-1	-2.390528870E-1	1.009740234E1	1.011738378E1
1.949827042E0	-7.605683899E-1	-5.134323120E-2	9.605375519E0	9.635576748E0
1.959821792E0	-3.600013733E-1	3.972738647E-1	1.042926224E1	1.044303300E1
1.969815792E0	-1.305285645E-1	2.851570129E-1	9.514065399E0	9.519232776E0
1.979809792E0	3.128494263E-2	2.323168945E-1	9.977351990E0	9.980105341E0
1.989803792E0	3.487747192E-2	8.996292114E-2	9.812245331E0	9.812719715E0
1.999797792E0	-6.137237549E-3	8.696914673E-2	9.683812408E0	9.684204875E0
2.009791792E0	-1.511856079E-1	2.439926147E-1	9.887838135E0	9.892003461E0
2.019785792E0	-1.951940918E-1	4.683760071E-1	1.001103195E1	1.002388336E1
2.029779792E0	2.224374390E-1	-8.696914673E-2	1.040875488E1	1.041149462E1
2.039773792E0	1.062789917E-2	-4.974156189E-1	9.582173767E0	9.595081519E0
2.049767792E0	-2.480342102E-1	2.618055725E-1	9.228609009E0	9.235653056E0
2.059761792E0	-5.272036743E-1	6.325845337E-1	1.030966095E1	1.034249563E1
2.069755792E0	-6.292913818E-1	1.966909790E-1	1.046114594E1	1.048190199E1
2.079749792E0	-8.349636841E-1	2.511776733E-1	9.001082153E0	9.043214833E0
2.089743792E0	-7.042854309E-1	1.242416382E-1	9.393715668E0	9.420899532E0
2.099738792E0	-5.945635986E-1	-1.435514832E-1	1.032792297E1	1.034601884E1
