"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.390407500E-1	-1.311273193E-1	-1.923500061E-1	1.020577698E1	1.020843164E1
9.490347500E-1	-4.974156189E-1	2.764750671E-1	9.736353149E0	9.752970492E0
9.590277500E-1	-7.309300232E-1	3.394940186E-1	9.780211945E0	9.813361329E0
9.690217500E-1	-5.316943359E-1	-2.186952209E-1	9.791139221E0	9.808003554E0
9.790147500E-1	-4.424798584E-1	3.023712158E-2	9.451495514E0	9.461895696E0
9.890077500E-1	-2.887495422E-1	2.704875183E-1	1.021445892E1	1.022211871E1
9.990017500E-1	3.158432007E-2	5.718109131E-2	9.737850037E0	9.738069140E0
1.008994750E0	2.619552612E-1	2.844085693E-2	9.880952454E0	9.884465126E0
1.018988750E0	8.292755127E-2	1.755848694E-1	9.974208527E0	9.976098574E0
1.028981750E0	2.604583740E-2	-1.332229614E-2	1.004441254E1	1.004445514E1
1.038975750E0	-1.800755310E-1	1.155596924E-1	9.509125671E0	9.511532593E0
1.048968750E0	-4.198768616E-1	3.586541748E-1	1.005339386E1	1.006854793E1
1.058962750E0	-3.261717224E-1	2.171983337E-1	9.812844086E0	9.820665566E0
1.068955750E0	-7.514373779E-2	2.140548706E-2	9.609716492E0	9.610034122E0
1.078949750E0	-4.520599365E-2	-1.707948303E-1	1.030232620E1	1.030384101E1
1.088942750E0	3.607498169E-2	-1.408570862E-1	9.696236572E0	9.697326734E0
1.098936750E0	-1.496887207E-1	2.020797729E-2	9.668544159E0	9.669723948E0
1.108929750E0	-2.814147949E-1	1.573228455E-1	9.990225220E0	9.995426189E0
1.118923750E0	-2.550695801E-1	4.008663940E-1	9.802066498E0	9.813575392E0
1.128916750E0	-3.619473267E-1	4.534071350E-1	9.980495453E0	9.997343316E0
1.138910750E0	-3.351530457E-1	1.176553345E-1	9.704918518E0	9.711416672E0
1.148903750E0	-3.183879089E-1	-4.326004028E-2	9.615105286E0	9.620472543E0
1.158897750E0	7.050338745E-2	-1.257385254E-2	1.012240036E1	1.012265370E1
1.168890750E0	5.313949585E-2	-1.718426514E-1	1.025143204E1	1.025300992E1
1.178884750E0	3.031196594E-1	-3.146456909E-1	9.419162750E0	9.429290024E0
1.188877750E0	-2.927911377E-1	1.904040527E-1	9.761949921E0	9.768195668E0
1.198870750E0	-2.884501648E-1	4.218228149E-1	1.001791763E1	1.003094271E1
1.208864750E0	-3.556604004E-1	3.674858093E-1	1.026640091E1	1.027913069E1
1.218857750E0	-3.564088440E-1	4.390370178E-1	9.141490173E0	9.158964098E0
1.228851750E0	-4.839436340E-1	5.164260864E-2	9.947414246E0	9.959313158E0
1.238844750E0	-3.635939026E-1	-8.187973022E-2	9.642348633E0	9.649548796E0
1.248838750E0	6.735992432E-2	-1.139131165E-1	1.041189835E1	1.041273935E1
1.258831750E0	1.299298096E-1	-2.974314880E-1	9.814490662E0	9.819856119E0
1.268825750E0	7.843688965E-2	5.837860107E-3	9.308093719E0	9.308426028E0
1.278818750E0	-2.255809021E-1	3.311114502E-1	1.019679565E1	1.020466379E1
1.288812750E0	-2.728825378E-1	5.010081482E-1	1.005698639E1	1.007315488E1
1.298805750E0	-1.357676697E-1	4.902305603E-1	9.783505096E0	9.796720412E0
1.308799750E0	-2.112107849E-1	-4.595443726E-2	9.671537933E0	9.673953060E0
1.318792750E0	-1.932481384E-1	-1.727407837E-1	1.010383896E1	1.010716310E1
1.328786750E0	-3.429368591E-1	-1.419049072E-1	9.399553528E0	9.406877761E0
1.338779750E0	-2.300715637E-1	-1.495390320E-1	1.011551468E1	1.011923575E1
1.348773750E0	3.158432007E-2	1.878593445E-1	9.690997467E0	9.692869576E0
1.358766750E0	-2.089654541E-1	3.257226562E-1	1.036579422E1	1.037301555E1
1.368760750E0	-2.939886475E-1	3.914360046E-1	9.526339874E0	9.538909941E0
1.378753750E0	-3.110531616E-1	1.106199646E-1	9.318422241E0	9.324268546E0
1.388747750E0	-3.248245239E-2	5.209167480E-2	1.056383240E1	1.056401077E1
1.398740750E0	-7.364685059E-2	-1.697470093E-1	9.795031128E0	9.796778690E0
1.408733750E0	7.499404907E-2	8.367599487E-2	9.848619690E0	9.849260661E0
1.418727750E0	-2.537223816E-1	-7.484436035E-3	9.638157349E0	9.641499268E0
1.428720750E0	-3.532653809E-2	7.963439941E-2	1.023646317E1	1.023683387E1
1.438714750E0	-4.014651489E-1	1.399589539E-1	9.541608124E0	9.551075770E0
1.448707750E0	-2.495310974E-1	4.306544495E-1	9.730964355E0	9.743684945E0
1.458701750E0	-3.707789612E-1	1.951940918E-1	1.016027161E1	1.016890834E1
1.468694750E0	-1.800755310E-1	5.748046875E-2	9.798773346E0	9.800596425E0
1.478688750E0	3.442840576E-2	-2.257305908E-1	9.392069092E0	9.394844407E0
1.488681750E0	-1.315763855E-1	7.155120850E-2	1.028077103E1	1.028186193E1
1.498675750E0	9.999206543E-2	1.773811340E-1	9.756112061E0	9.758236778E0
1.508668750E0	1.001417542E-1	5.777984619E-2	9.886490936E0	9.887166931E0
1.518662750E0	-1.264869690E-1	1.231938171E-1	1.022164398E1	1.022316885E1
1.528655750E0	-3.273692322E-1	1.517843628E-1	9.374405823E0	9.381348178E0
1.538649750E0	-5.242098999E-1	1.077758789E-1	9.658515015E0	9.673330551E0
1.548642750E0	-4.564009094E-1	1.199006653E-1	1.023990601E1	1.025077329E1
1.558636750E0	-2.487826538E-1	1.987866211E-1	9.752220154E0	9.757418043E0
1.568629750E0	-1.022373962E-1	3.727249146E-2	9.813293152E0	9.813896484E0
1.578623542E0	-6.032455444E-2	-2.664459229E-2	9.597442017E0	9.597668584E0
1.588616542E0	-3.787124634E-2	7.439529419E-2	1.034513718E1	1.034547399E1
1.598610542E0	-4.745132446E-2	9.565109253E-2	9.796528015E0	9.797109875E0
1.608603542E0	-2.118095398E-1	2.630030823E-1	9.768536224E0	9.774371277E0
1.618596542E0	-4.376898193E-1	2.342628479E-1	9.799821167E0	9.812387394E0
1.628590542E0	-3.203338623E-1	6.436614990E-3	9.831704865E0	9.836924100E0
1.638583542E0	-2.971321106E-1	-2.170486450E-2	1.008782227E1	1.009222060E1
1.648577542E0	-2.439926147E-2	1.871109009E-2	9.662107544E0	9.662156468E0
1.658570542E0	1.561253357E-1	8.966354370E-2	9.658964081E0	9.660641893E0
1.668564542E0	1.859133911E-1	1.188528442E-1	1.030681686E1	1.030917861E1
1.678557542E0	1.496887207E-2	-9.340576172E-2	9.913434906E0	9.913886238E0
1.688551542E0	-2.848576355E-1	4.008663940E-1	9.265133057E0	9.278174836E0
1.698544542E0	-5.291496277E-1	4.263134766E-1	1.005803421E1	1.008096199E1
1.708538542E0	-4.466711426E-1	1.112187195E-1	9.984387360E0	9.994992529E0
1.718531542E0	-3.243754578E-1	-1.323248291E-1	9.593250732E0	9.599645249E0
1.728525542E0	-2.439926147E-1	-1.469943237E-1	9.631870422E0	9.636081546E0
1.738518542E0	-2.149530029E-1	-3.412902832E-2	9.928104401E0	9.930489745E0
1.748512542E0	-2.844085693E-3	2.017803955E-1	9.790091400E0	9.792171007E0
