"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.359421542E0	-1.375639343E-1	2.544708252E-2	9.337582397E0	9.338630329E0
1.369415542E0	-3.043171692E-1	2.793191528E-1	1.019679565E1	1.020515898E1
1.379409542E0	-3.730242920E-1	-6.436614990E-3	1.101170105E1	1.101801927E1
1.389403542E0	-2.453398132E-1	-1.654060364E-1	8.382867737E0	8.388088118E0
1.399397542E0	-2.222877502E-1	-4.640350342E-2	9.516011353E0	9.518720355E0
1.409391542E0	2.740800476E-1	2.612068176E-1	1.123533600E1	1.124171356E1
1.419385542E0	8.322692871E-1	2.273771667E-1	9.779912567E0	9.817895007E0
1.429379542E0	7.497908020E-1	3.811074829E-1	9.239236908E0	9.277441878E0
1.439373542E0	1.654060364E-1	2.040257263E-1	9.903555450E0	9.907037711E0
1.449367542E0	-3.335064697E-1	1.681004333E-1	1.087323898E1	1.087965120E1
1.459361542E0	-6.701564026E-1	1.935475159E-1	8.482261047E0	8.510894355E0
1.469355542E0	-5.659730530E-1	2.712359619E-1	1.077264816E1	1.079091483E1
1.479349542E0	-5.833369446E-1	1.092727661E-2	9.110205231E0	9.128868536E0
1.489343542E0	-6.256988525E-2	-1.327738953E-1	9.543703766E0	9.544832396E0
1.499337542E0	2.197430420E-1	7.484436035E-4	1.083297272E1	1.083520122E1
1.509331542E0	8.779243469E-1	2.993774414E-3	9.592053223E0	9.632146446E0
1.519325542E0	7.074288940E-1	9.310638428E-2	9.465416565E0	9.492272393E0
1.529319542E0	-1.437011719E-2	3.692820740E-1	1.008842102E1	1.009518769E1
1.539313542E0	-3.567082214E-1	5.685177612E-1	1.045590683E1	1.047742530E1
1.549307542E0	-5.710624695E-1	1.392105103E-1	8.893755341E0	8.913157463E0
1.559301542E0	-4.266128540E-1	3.981719971E-2	1.005264542E1	1.006177240E1
