"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.289556167E0	-1.721420288E-1	1.267863464E-1	9.691596222E0	9.693954043E0
1.299549167E0	2.722837830E-1	-1.002914429E-2	9.680369568E0	9.684203324E0
1.309542667E0	-3.631448364E-1	9.101074219E-2	1.046997757E1	1.047666872E1
1.319536667E0	1.237925720E-1	6.047424316E-2	9.263636169E0	9.264660642E0
1.329529667E0	2.305206299E-2	-1.206491089E-1	9.659862213E0	9.660643125E0
1.339523667E0	1.438508606E-1	4.269122314E-1	1.061921722E1	1.062876858E1
1.349517667E0	4.405339050E-1	-5.149291992E-2	9.446555786E0	9.456962401E0
1.359510667E0	3.872447205E-1	2.230361938E-2	9.904453583E0	9.912046040E0
1.369504667E0	2.043251038E-1	3.252735901E-1	9.960437164E0	9.967841299E0
1.379498667E0	1.640588379E-1	1.514849854E-1	1.004995102E1	1.005243147E1
1.389492667E0	-3.173400879E-2	-1.948947144E-1	9.662556610E0	9.664574033E0
1.399485667E0	-3.775149536E-1	2.441423035E-1	9.786798248E0	9.797119115E0
1.409479667E0	-5.454656982E-1	5.942642212E-2	9.667346649E0	9.682905327E0
1.419473667E0	-3.998185730E-1	-2.339634705E-1	9.998308411E0	1.000903416E1
1.429466667E0	-1.700463867E-1	2.646496582E-1	9.616452484E0	9.621596208E0
1.439460667E0	2.305206299E-2	1.856140137E-1	9.806557159E0	9.808340700E0
1.449454667E0	3.493734741E-1	5.837860107E-2	1.009395950E1	1.010017269E1
1.459447667E0	4.595443726E-1	2.912942505E-1	9.757758636E0	9.772915992E0
1.469441667E0	3.683839417E-1	1.239422607E-1	1.020023849E1	1.020764095E1
1.479435667E0	2.121089172E-1	-6.900650024E-2	9.738897858E0	9.741451821E0
1.489428667E0	2.350112915E-2	2.335144043E-2	9.356892242E0	9.356950894E0
1.499422667E0	-1.683998108E-1	1.886077881E-2	1.054961197E1	1.055097280E1
1.509416667E0	-1.839674377E-1	1.481918335E-2	9.840536499E0	9.842267128E0
1.519409667E0	7.229965210E-2	9.580078125E-2	8.966354370E0	8.967157617E0
1.529403667E0	-7.634124756E-2	1.395098877E-1	1.080108902E1	1.080225972E1
1.539397667E0	1.272354126E-1	2.061213684E-1	9.491013336E0	9.494103908E0
1.549390667E0	5.478607178E-2	-6.466552734E-2	9.590256958E0	9.590631453E0
1.559384667E0	-4.251159668E-2	-1.151106262E-1	1.033929932E1	1.034002747E1
1.569378667E0	-2.025288391E-1	2.104623413E-1	9.574090576E0	9.578544915E0
1.579372667E0	-1.402583313E-1	2.609074402E-1	9.663454742E0	9.667993724E0
1.589365667E0	-6.062393188E-2	1.483415222E-1	1.019769379E1	1.019895284E1
1.599359667E0	2.107617188E-1	2.842588806E-1	9.536818085E0	9.543381099E0
1.609353667E0	3.007246399E-1	1.237925720E-1	1.005953110E1	1.006478643E1
1.619346667E0	2.817141724E-1	-2.963836670E-2	1.011910721E1	1.012307127E1
1.629340667E0	1.591191101E-1	-1.228944397E-1	9.543404388E0	9.545521948E0
1.639334667E0	2.902464294E-1	-2.683918762E-1	9.745933228E0	9.753947491E0
1.649327667E0	-2.010319519E-1	1.721420288E-1	1.066142944E1	1.066471399E1
1.659321667E0	-7.993377686E-2	2.803669739E-1	9.219927063E0	9.224535224E0
1.669315667E0	-4.962181091E-1	1.830693054E-1	9.526639252E0	9.541310299E0
1.679308667E0	-3.314108276E-1	5.465135193E-1	1.020996826E1	1.022995416E1
1.689302667E0	2.574645996E-2	9.774673462E-2	9.671388245E0	9.671916453E0
1.699296667E0	5.216651917E-1	-4.254153442E-1	1.072564590E1	1.074674801E1
1.709289667E0	3.373983765E-1	-3.170407104E-1	9.057514801E0	9.069339934E0
1.719283667E0	1.805245972E-1	1.143621826E-1	9.307644653E0	9.310097574E0
1.729277667E0	-2.296224976E-1	2.338137817E-1	1.104897354E1	1.105383244E1
1.739270667E0	-1.796264648E-1	6.732998657E-1	9.820029144E0	9.844722991E0
1.749264667E0	-1.824705505E-1	2.769241333E-1	9.012458496E0	9.018558123E0
1.759258667E0	7.125183105E-2	1.535806274E-1	9.953102417E0	9.954542257E0
1.769252667E0	2.679428101E-2	-1.270857239E-1	1.017883301E1	1.017966159E1
1.779245667E0	1.158590698E-1	-2.038760376E-1	1.005084915E1	1.005358431E1
1.789239667E0	1.080752563E-1	-9.101074219E-2	9.557624817E0	9.558669121E0
1.799233667E0	1.601669312E-1	-4.834945679E-2	9.833950195E0	9.835373280E0
1.809226667E0	-1.766326904E-2	1.597178650E-1	1.019934036E1	1.020060614E1
1.819220667E0	-9.580078125E-3	3.216810608E-1	9.386231232E0	9.391746761E0
1.829214667E0	-2.067201233E-1	3.893403625E-1	1.029738647E1	1.030681752E1
1.839207667E0	1.029858398E-1	2.399510193E-1	9.323062592E0	9.326718537E0
1.849201667E0	1.122665405E-2	1.267863464E-1	1.028301636E1	1.028380407E1
1.859195667E0	2.606080627E-1	-2.683918762E-1	9.935588837E0	9.942629244E0
1.869188667E0	-5.029541016E-2	-3.734733582E-1	9.696685638E0	9.704005583E0
1.879182667E0	-5.044509888E-2	1.645079041E-1	9.428892517E0	9.430462431E0
1.889176667E0	-2.092648315E-1	4.516108704E-1	1.036010605E1	1.037205580E1
1.899169667E0	3.721261597E-1	3.890409851E-1	1.022269180E1	1.023685784E1
1.909163667E0	2.490820312E-1	1.007405090E-1	9.289682007E0	9.293566716E0
1.919157667E0	1.459465027E-1	1.948947144E-1	9.569450226E0	9.572547308E0
1.929150667E0	-3.764671326E-1	1.155596924E-1	1.055410263E1	1.056144705E1
1.939144667E0	-2.531236267E-1	-9.280700684E-3	9.770781555E0	9.774064144E0
1.949138667E0	1.910028076E-1	-2.002835083E-1	9.247320099E0	9.251460672E0
1.959131667E0	-9.280700684E-3	-2.393522644E-1	1.025412643E1	1.025692374E1
1.969125667E0	1.685494995E-1	-1.489402771E-1	9.644743652E0	9.647366079E0
1.979119667E0	-2.661465454E-1	1.793270874E-1	9.909692688E0	9.914887864E0
1.989113667E0	9.595046997E-2	5.807922363E-1	1.000055374E1	1.001786411E1
1.999106667E0	-7.484436035E-2	5.066963196E-1	9.776469727E0	9.789877586E0
2.009100667E0	1.916015625E-1	1.600172424E-1	9.909842377E0	9.912986059E0
2.019094667E0	-1.826202393E-1	-2.200424194E-2	9.555828552E0	9.557598739E0
2.029087667E0	9.550140381E-2	-1.143621826E-1	1.015623001E1	1.015732284E1
2.039081667E0	1.258882141E-1	-2.598596191E-1	9.810299377E0	9.814547811E0
2.049075667E0	3.150947571E-1	7.574249268E-2	9.858798523E0	9.864123374E0
2.059068667E0	3.095562744E-1	-1.975891113E-2	9.997410278E0	1.000222114E1
2.069062667E0	2.177970886E-1	2.317181396E-1	9.750124512E0	9.755309163E0
2.079056667E0	-4.460723877E-2	1.754351807E-1	9.800120544E0	9.801792183E0
2.089049667E0	-4.525090027E-1	5.269042969E-1	1.028271698E1	1.030614676E1
2.099043667E0	-3.806584167E-1	1.851649475E-1	9.451794891E0	9.461269130E0
2.109037667E0	-1.272354126E-1	-3.885919189E-1	9.456285553E0	9.465121710E0
2.119030667E0	1.347198486E-2	-3.074606323E-1	1.024963577E1	1.025425507E1
2.129024667E0	1.601669312E-1	3.092568970E-1	9.532477112E0	9.538837097E0
2.139018667E0	1.341210938E-1	4.691244507E-1	1.047850983E1	1.048986341E1
2.149011667E0	2.592608643E-1	4.734654236E-1	9.752818909E0	9.767746023E0
2.159005667E0	1.616638184E-1	-7.738906860E-2	9.307944031E0	9.309669507E0
2.168999667E0	1.691482544E-1	-6.288423157E-1	1.013886612E1	1.015975689E1
2.178992667E0	-3.385958862E-1	-1.703457642E-1	9.969418488E0	9.976621163E0
2.188986667E0	-3.847000122E-2	3.966751099E-1	9.730964355E0	9.739122053E0
2.198980667E0	-1.061293030E-1	6.979985046E-1	9.972861328E0	9.997821183E0
2.208974667E0	2.577639771E-1	1.944456482E-1	9.825118561E0	9.830422479E0
