"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
9.922890833E-1	-5.701643372E-1	2.314187622E-1	9.508826294E0	9.528715522E0
1.002282083E0	-5.468128967E-1	2.580633545E-1	9.673334198E0	9.692213140E0
1.012276083E0	-2.421963501E-1	4.578977966E-1	9.871372375E0	9.884954327E0
1.022269083E0	6.406677246E-2	2.905458069E-1	9.597442017E0	9.602052628E0
1.032263083E0	1.386117554E-1	2.270777893E-1	1.011072464E1	1.011422416E1
1.042257083E0	1.844165039E-1	4.384382629E-1	1.008138565E1	1.009259997E1
1.052250083E0	1.377136230E-2	1.451980591E-1	1.014844620E1	1.014949419E1
1.062244083E0	-2.134561157E-1	2.891986084E-1	9.427844696E0	9.434694217E0
1.072237083E0	-1.803749084E-1	5.358856201E-1	9.717941437E0	9.734376933E0
1.082231083E0	-3.763174438E-1	3.260220337E-1	1.054377411E1	1.055552356E1
1.092224083E0	-1.675016785E-1	1.546284485E-1	9.162745972E0	9.165581297E0
1.102218083E0	-1.868115234E-1	2.586621094E-1	9.634265442E0	9.639547460E0
1.112211083E0	-2.044747925E-1	2.348616028E-1	1.020877075E1	1.021351899E1
1.122205667E0	-1.196012878E-1	3.400927734E-1	9.942923584E0	9.949457119E0
1.132199667E0	-2.165995789E-1	3.287164307E-1	9.785600739E0	9.793515798E0
1.142192667E0	-2.745291138E-1	4.099974060E-1	9.935439148E0	9.947683910E0
1.152186667E0	-3.025209045E-1	3.251239014E-1	9.606722717E0	9.616982157E0
1.162179667E0	-8.502319336E-2	2.842588806E-1	9.480235748E0	9.484877537E0
1.172173667E0	-2.621049500E-1	3.628454590E-1	1.017778519E1	1.018762323E1
1.182166667E0	-3.847000122E-2	2.001338196E-1	1.009036697E1	1.009242484E1
1.192160667E0	-1.315763855E-1	2.773731995E-1	9.214837646E0	9.219950167E0
1.202153667E0	9.834548950E-2	4.932243347E-1	1.045575714E1	1.046784598E1
1.212147667E0	1.005908203E-1	8.517288208E-2	9.999056854E0	9.999925545E0
1.222141667E0	6.002517700E-2	2.450404358E-1	1.005234604E1	1.005551136E1
1.232134667E0	-4.537065125E-1	2.398013306E-1	9.120234375E0	9.134660877E0
1.242128667E0	-5.706134033E-1	6.613247681E-1	1.016371445E1	1.020117844E1
1.252121667E0	-7.479945374E-1	2.772235107E-1	9.891131287E0	9.923246789E0
1.262115667E0	-1.196012878E-1	5.152285767E-1	9.839937744E0	9.854143279E0
1.272108667E0	-2.420466614E-1	-1.037342834E-1	9.011260986E0	9.015107983E0
1.282102667E0	9.595046997E-2	2.975811768E-1	1.006357269E1	1.006842870E1
1.292096667E0	-9.325607300E-2	3.263214111E-1	1.046578629E1	1.047128764E1
1.302089667E0	2.565664673E-1	4.096980286E-1	1.035351974E1	1.036479860E1
1.312083667E0	-7.798782349E-2	2.609074402E-1	8.988208923E0	8.992333092E0
1.322076667E0	-1.407073975E-1	5.697152710E-1	1.040815613E1	1.042468647E1
1.332070667E0	-5.209167480E-1	2.535726929E-1	9.716145172E0	9.733402816E0
1.342063667E0	-3.248245239E-1	3.480262756E-1	9.810299377E0	9.821843367E0
1.352057667E0	-2.137554932E-1	2.733316040E-1	9.034313049E0	9.040974165E0
1.362050667E0	1.511856079E-2	2.975811768E-1	1.061981598E1	1.062399523E1
1.372044667E0	-3.936813354E-2	1.736389160E-2	9.958940277E0	9.959033226E0
1.382038667E0	1.437011719E-1	1.326242065E-1	9.684860229E0	9.686834203E0
1.392031667E0	-4.520599365E-2	5.439688110E-1	9.720037079E0	9.735351379E0
1.402025667E0	-3.956272888E-1	5.218148804E-1	1.063658112E1	1.065671946E1
1.412018667E0	-7.075785828E-1	4.059558105E-1	9.625433807E0	9.659940142E0
1.422012667E0	-4.236190796E-1	4.438270569E-1	8.884923706E0	8.906082463E0
1.432005667E0	-6.391708374E-1	9.385482788E-2	9.649084625E0	9.670686749E0
1.441999667E0	2.299218750E-1	5.257067871E-1	1.001597168E1	1.003239355E1
1.451992667E0	8.128097534E-2	1.657054138E-1	1.048105453E1	1.048267948E1
1.461986667E0	2.263293457E-1	7.619155884E-2	1.008422974E1	1.008705703E1
1.471980667E0	-5.149291992E-2	-8.397537231E-2	9.211245117E0	9.211771816E0
1.481973667E0	-1.203497314E-1	8.517288208E-2	1.034019745E1	1.034124856E1
1.491967667E0	-4.299060059E-1	4.255650330E-1	1.067999084E1	1.069710845E1
1.501960667E0	4.939727783E-2	8.295748901E-1	8.700207825E0	8.739808395E0
1.511954667E0	5.912704468E-2	7.725434875E-1	9.514065399E0	9.545562313E0
1.521947667E0	7.828720093E-2	3.903881836E-1	1.004546036E1	1.005334798E1
1.531941667E0	-6.914122009E-1	2.871029663E-1	1.017583923E1	1.020334176E1
1.541935667E0	-6.415658569E-1	2.005828857E-2	9.427695007E0	9.449520741E0
1.551928667E0	-5.816903687E-1	-1.318757629E-1	9.815837860E0	9.833942638E0
1.561922667E0	-9.909393311E-2	2.149530029E-1	1.019305344E1	1.019580123E1
1.571915667E0	-1.374142456E-1	1.898052979E-1	9.478589172E0	9.481485191E0
1.581909667E0	1.392105103E-2	5.492079163E-1	1.035696259E1	1.037152338E1
1.591902667E0	5.367837524E-1	7.849676514E-1	8.474626923E0	8.527814051E0
1.601896667E0	3.215313721E-1	4.028123474E-1	1.160865967E1	1.162009550E1
1.611889667E0	-1.923500061E-1	4.326004028E-2	1.033600616E1	1.033788631E1
1.621883667E0	-3.373983765E-1	3.478765869E-1	7.915090485E0	7.929912557E0
1.631877667E0	-7.887098694E-1	3.147953796E-1	1.076516373E1	1.079860683E1
1.641870667E0	-6.468049622E-1	1.601669312E-1	1.089239914E1	1.091276175E1
1.651864667E0	-1.600172424E-1	2.186952209E-1	8.381969604E0	8.386348882E0
1.661857667E0	-1.502874756E-1	4.149371338E-1	8.786278839E0	8.797355000E0
1.671851667E0	-1.038839722E-1	4.752616882E-1	1.163335831E1	1.164352571E1
1.681844667E0	2.432441711E-1	3.436853027E-1	9.865684204E0	9.874665165E0
1.691838667E0	4.161346436E-1	6.526428223E-2	9.223818970E0	9.233431857E0
1.701831667E0	-2.694396973E-3	3.248245239E-1	1.027283752E1	1.027797203E1
1.711825667E0	-4.257147217E-1	3.373983765E-1	1.031370255E1	1.032799743E1
1.721819667E0	-6.256988525E-1	1.761836243E-1	9.305399323E0	9.328075701E0
1.731812667E0	-7.170089722E-1	4.267625427E-1	9.973160706E0	1.000800493E1
1.741806667E0	-4.025129700E-1	4.040098572E-1	8.830137634E0	8.848534980E0
1.751799667E0	-1.511856079E-1	5.780978394E-1	1.012150223E1	1.013912529E1
1.761793667E0	1.746867371E-1	3.179388428E-1	9.921667786E0	9.928297549E0
1.771786667E0	3.568579102E-1	-2.933898926E-2	1.036339920E1	1.036958299E1
1.781780667E0	2.062710571E-1	-2.245330811E-3	9.634714508E0	9.636922561E0
1.791773667E0	-1.092727661E-2	4.052073669E-1	9.968071289E0	9.976309821E0
1.801767667E0	-3.824546814E-1	4.517605591E-1	1.089180038E1	1.090787215E1
1.811761667E0	-5.125341797E-1	3.303630066E-1	9.266929321E0	9.286969907E0
1.821754667E0	-6.640191650E-1	4.900808716E-1	8.401728516E0	8.442164578E0
1.831748667E0	-6.012995911E-1	5.803431702E-1	1.002704865E1	1.006181216E1
1.841741667E0	9.071136475E-2	3.115022278E-1	1.079659836E1	1.080147204E1
1.851735667E0	4.370910645E-1	-1.589694214E-1	9.651180267E0	9.662380681E0
1.861728667E0	2.802172852E-1	1.426533508E-1	9.200168152E0	9.205539948E0
1.871722667E0	-1.814227295E-1	3.592529297E-3	1.061442719E1	1.061597813E1
1.881715667E0	-6.584806824E-1	3.341052246E-1	1.120120697E1	1.122551828E1
1.891709667E0	-3.962260437E-1	6.411167908E-1	8.892108765E0	8.923991489E0
1.901703667E0	-5.376818848E-1	8.527766418E-1	8.315208435E0	8.376098204E0
1.911696667E0	-2.186952209E-1	6.915618896E-1	1.009246262E1	1.011849233E1
1.921690667E0	1.498384094E-1	1.733395386E-1	1.009620483E1	1.009880439E1
1.931683667E0	1.203497314E-1	-2.338137817E-1	1.039573196E1	1.039905746E1
1.941677667E0	1.758842468E-1	-2.237846375E-1	9.843230896E0	9.847345292E0
1.951670667E0	1.246907043E-1	2.412982178E-1	1.034229309E1	1.034585903E1
1.961664667E0	-2.909948730E-1	3.966751099E-1	1.022463776E1	1.023646650E1
1.971657667E0	-1.742376709E-1	5.695655823E-1	9.355245667E0	9.374187175E0
1.981651667E0	3.603007507E-1	4.902305603E-1	9.116192780E0	9.136471607E0
1.991645667E0	3.547622681E-2	-1.957928467E-1	9.751022644E0	9.753052651E0
2.001638667E0	-3.740721130E-1	8.131091309E-1	1.095736404E1	1.099385752E1
2.011632667E0	-1.122066650E0	9.168434143E-1	9.446406097E0	9.556894034E0
2.021625667E0	-1.204545135E0	-3.424877930E-1	9.903405762E0	9.982267906E0
2.031619667E0	-8.759783936E-1	2.956352234E-1	8.441994781E0	8.492468088E0
2.041612667E0	-7.460485840E-1	6.497987366E-1	1.087757996E1	1.092248015E1
2.051606667E0	3.442840576E-1	-1.990859985E-2	9.080417175E0	9.086963406E0
2.061599667E0	1.290167084E0	6.960525513E-2	8.440048828E0	8.538372223E0
2.071593667E0	1.017134857E0	3.966751099E-2	1.220172638E1	1.224411138E1
2.081587667E0	4.905299377E-1	1.953437805E-1	1.238314911E1	1.239440038E1
2.091580667E0	2.912942505E-1	6.385720825E-1	6.467450867E0	6.505424456E0
2.101574667E0	-5.951623535E-1	1.054257660E0	1.128578110E1	1.135053005E1
2.111567667E0	-9.876461792E-1	3.902384949E-1	1.136781052E1	1.141730472E1
2.121561792E0	-1.155746613E0	-9.879455566E-3	6.518644409E0	6.620315156E0
2.131554792E0	-1.280137939E0	4.400848389E-2	9.063053284E0	9.153121037E0
2.141548792E0	-6.776408386E-1	3.770658875E-1	1.123877884E1	1.126550157E1
2.151542792E0	6.583309937E-1	1.649569702E-1	1.006417145E1	1.008702917E1
2.161535792E0	5.019062805E-1	-3.152444458E-1	9.336534576E0	9.355328261E0
2.171529792E0	4.311035156E-1	5.586383057E-1	1.084988754E1	1.087280951E1
2.181522792E0	4.513114929E-1	6.330335999E-1	1.018407211E1	1.021370346E1
2.191516792E0	3.809577942E-1	5.034031677E-1	1.017194733E1	1.019151883E1
2.201509792E0	-3.249742126E-1	2.200424194E-1	9.589209137E0	9.597237039E0
