"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.018171667E0	-2.948867798E-2	-2.155517578E-2	9.549990692E0	9.550060546E0
1.028165667E0	-4.797523499E-1	2.917433167E-1	1.057041870E1	1.058532135E1
1.038159667E0	-9.475296021E-2	1.743873596E-1	9.272467804E0	9.274591541E0
1.048152667E0	-1.775308228E-1	-2.395019531E-3	9.589658203E0	9.591301652E0
1.058146667E0	1.122665405E-1	4.736151123E-1	1.048374893E1	1.049504201E1
1.068139667E0	2.725831604E-1	-1.496887207E-3	9.831405487E0	9.835183662E0
1.078133667E0	2.168989563E-1	1.008901978E-1	9.712402954E0	9.715348431E0
1.088127667E0	7.753875732E-2	3.484753418E-1	9.927355957E0	9.933772879E0
1.098120667E0	-1.127156067E-1	2.468367004E-1	1.026954437E1	1.027312877E1
1.108114667E0	-3.716770935E-1	-2.454895020E-2	9.440568237E0	9.447913799E0
1.118107667E0	-5.403762817E-1	3.739224243E-1	9.730215912E0	9.752380540E0
1.128101667E0	-5.812413025E-1	2.441423035E-1	9.665849762E0	9.686387280E0
1.138094667E0	-3.944297791E-1	-1.781295776E-2	1.024993515E1	1.025753687E1
1.148088667E0	-1.715432739E-1	4.676275635E-1	9.427844696E0	9.440993499E0
1.158082667E0	1.676513672E-2	3.481759644E-1	9.944719849E0	9.950827123E0
1.168075667E0	7.274871826E-2	-7.214996338E-2	1.004995102E1	1.005047330E1
1.178069667E0	3.712280273E-2	1.916015625E-2	9.782756653E0	9.782845851E0
1.188062667E0	-1.368154907E-1	2.258802795E-1	9.831405487E0	9.834951664E0
1.198056667E0	-9.580078125E-2	2.390528870E-1	1.000624191E1	1.000955550E1
1.208050667E0	-7.783813477E-3	1.790277100E-1	9.712402954E0	9.714055932E0
1.218043667E0	-2.829116821E-2	2.585124207E-1	9.971813507E0	9.975203942E0
1.228037667E0	-1.815724182E-1	2.209405518E-1	9.768386536E0	9.772571759E0
1.238031667E0	-1.052311707E-1	3.291654968E-1	9.735005951E0	9.741137736E0
1.248024667E0	-9.280700684E-2	2.356100464E-1	1.034438873E1	1.034748779E1
1.258018667E0	6.436614990E-3	-1.312770081E-1	9.394164734E0	9.395084147E0
1.268011667E0	-2.787203979E-1	-2.354603577E-1	1.009425888E1	1.010085090E1
1.278005667E0	-3.978726196E-1	6.750961304E-2	9.400601349E0	9.409259582E0
1.287999667E0	-3.005749512E-1	6.571334839E-1	1.034618500E1	1.037138919E1
1.297992667E0	3.427871704E-2	6.309379578E-1	9.446106720E0	9.467216587E0
1.307986667E0	-1.736389160E-2	3.680845642E-1	1.040441391E1	1.041093735E1
1.317979667E0	-1.032852173E-1	-1.122665405E-2	9.097781067E0	9.098374262E0
1.327973667E0	-4.787045288E-1	4.745132446E-2	9.813442841E0	9.825226208E0
